dataset,feature,classifier,iteration,accuracy,precision,recall,f1,kappa
bilbao,LTCC,KNeighborsClassifier,1,0.1076923076923077,0.10521978021978022,0.10897435897435898,0.10381178650409417,0.03159517081941954
bilbao,LTCC,KNeighborsClassifier,2,0.18461538461538463,0.22344322344322343,0.16923076923076924,0.1645322626091857,0.11462349010537132
bilbao,LTCC,KNeighborsClassifier,3,0.2153846153846154,0.24081196581196582,0.21153846153846154,0.21045236814467583,0.14847161572052403
bilbao,LTCC,KNeighborsClassifier,4,0.23076923076923078,0.2690476190476191,0.2294871794871795,0.22850395218816272,0.1662390969728066
bilbao,LTCC,KNeighborsClassifier,5,0.18461538461538463,0.19291819291819293,0.1935897435897436,0.18777120315581855,0.1166666666666667
bilbao,LTCC,KNeighborsClassifier,6,0.16923076923076924,0.2827838827838828,0.17051282051282052,0.19331501831501832,0.09884467265725283
bilbao,LTCC,KNeighborsClassifier,7,0.18461538461538463,0.2316849816849817,0.18589743589743588,0.18933288933288933,0.11598665640236083
bilbao,LTCC,KNeighborsClassifier,8,0.26153846153846155,0.27912087912087913,0.26282051282051283,0.25792327330788867,0.19711785898095724
bilbao,LTCC,KNeighborsClassifier,9,0.27692307692307694,0.26172161172161174,0.27820512820512816,0.2527668912284297,0.21626475115443822
bilbao,LTCC,SVC,0,0.8615384615384616,0.8765567765567766,0.8576923076923078,0.8562309485386409,0.849768875192604
bilbao,LTCC,SVC,1,0.7846153846153846,0.802991452991453,0.7820512820512822,0.7853979353979355,0.7661870503597122
bilbao,LTCC,SVC,2,0.8153846153846154,0.8305860805860807,0.8025641025641026,0.8024475524475523,0.7996403801695351
bilbao,LTCC,SVC,3,0.8615384615384616,0.8811355311355311,0.8576923076923078,0.8534179495717957,0.8497302851271513
bilbao,LTCC,SVC,4,0.9230769230769231,0.926923076923077,0.9230769230769231,0.9191919191919191,0.9166025147549397
bilbao,LTCC,SVC,5,0.8307692307692308,0.8911921411921411,0.8217948717948718,0.8170523920523921,0.8163841807909604
bilbao,LTCC,SVC,6,0.9384615384615385,0.9523809523809524,0.9435897435897437,0.9407148407148408,0.9332991277578245
bilbao,LTCC,SVC,7,0.7846153846153846,0.8123626373626374,0.7782051282051282,0.7792792677408061,0.7664271047227926
bilbao,LTCC,SVC,8,0.9076923076923077,0.91978021978022,0.9064102564102564,0.9041450002988463,0.8999230177059276
bilbao,LTCC,SVC,9,0.9230769230769231,0.9307692307692308,0.9282051282051283,0.9255633255633254,0.9166452936650423
bilbao,MFCC,KNeighborsClassifier,0,0.5538461538461539,0.5992424242424244,0.5435897435897437,0.5563048063048063,0.5159219311761685
bilbao,MFCC,KNeighborsClassifier,1,0.38461538461538464,0.38717948717948725,0.37820512820512825,0.37134630075806546,0.3323061119671289
bilbao,MFCC,KNeighborsClassifier,2,0.46153846153846156,0.5414224664224664,0.4525641025641026,0.46254301254301244,0.4162176032845779
bilbao,MFCC,KNeighborsClassifier,3,0.5692307692307692,0.5633699633699634,0.5576923076923077,0.541248495094649,0.5327342747111681
