dataset,n_players,n_excerpts_per_player,iteration,accuracy,precision,recall,f1,kappa
bilbao,1,3,5,0.1076923076923077,0.049040702886856725,0.10769230769230768,0.05998076626259988,0.033333333333333326
bilbao,1,3,6,0.12307692307692308,0.04730507587650445,0.11794871794871796,0.057549857549857544,0.04853620955315874
bilbao,1,3,7,0.09230769230769231,0.023584905660377357,0.10384615384615385,0.03524648725887116,0.02985074626865669
bilbao,1,3,8,0.16923076923076924,0.07200694042799306,0.16153846153846155,0.09010220548682087,0.09114448472294145
bilbao,1,3,9,0.09230769230769231,0.016402714932126698,0.0923076923076923,0.027749438890022442,0.01666666666666672
bilbao,1,3,10,0.12307692307692308,0.02364066193853428,0.13846153846153847,0.038822217850350844,0.0613123891563212
bilbao,1,3,11,0.1076923076923077,0.017464678178963893,0.10769230769230768,0.028897028897028894,0.033333333333333326
bilbao,1,3,12,0.046153846153846156,0.007554945054945055,0.04615384615384616,0.012978012978012978,-0.033333333333333215
bilbao,1,3,13,0.16923076923076924,0.041116291116291115,0.1846153846153846,0.06709401709401709,0.10367722165474968
bilbao,1,3,14,0.07692307692307693,0.013065881486934118,0.08461538461538462,0.02256777212054493,0.004340056165432649
bilbao,1,5,0,0.18461538461538463,0.09760026298487837,0.17435897435897435,0.11023545485788049,0.11371237458193972
bilbao,1,5,1,0.12307692307692308,0.035606550312432664,0.12307692307692308,0.05128205128205128,0.050000000000000044
bilbao,1,5,2,0.07692307692307693,0.05867511588335387,0.08461538461538462,0.05128205128205128,0.00964956830878616
bilbao,1,5,3,0.24615384615384617,0.08748251748251748,0.24615384615384614,0.12222374575315752,0.18333333333333335
bilbao,1,5,4,0.15384615384615385,0.08848940914158304,0.14871794871794872,0.0847739490273427,0.08262766230433671
bilbao,1,5,5,0.2153846153846154,0.08901895206243032,0.2128205128205128,0.11487743026204565,0.14912731006160174
bilbao,1,5,6,0.2,0.07051282051282051,0.2,0.09702377341634637,0.13333333333333341
bilbao,1,5,7,0.15384615384615385,0.06366612111292962,0.1358974358974359,0.0718544155409177,0.0711873213821772
bilbao,1,5,10,0.2,0.0917082917082917,0.17948717948717946,0.11531103998822793,0.12298910223144799
bilbao,1,5,11,0.16923076923076924,0.11851851851851852,0.16923076923076924,0.12035797535797535,0.09999999999999998
bilbao,1,5,12,0.24615384615384617,0.11262157382847038,0.2384615384615385,0.14083955260425848,0.1816546762589928
bilbao,1,5,13,0.16923076923076924,0.07330438378825475,0.1769230769230769,0.08104921898025347,0.10230179028133002
bilbao,1,5,14,0.15384615384615385,0.06039279869067103,0.16923076923076924,0.07991646362687085,0.09424879655434515
bilbao,1,10,0,0.3076923076923077,0.25711097269801725,0.3115384615384616,0.2674825174825175,0.251152073732719
bilbao,1,10,1,0.3230769230769231,0.2871017871017871,0.3230769230769231,0.22720938481808048,0.2670425422860072
bilbao,1,10,2,0.3384615384615385,0.2896658896658897,0.3384615384615385,0.26669767430637,0.2837006663249616
bilbao,1,10,4,0.3384615384615385,0.36889776889776893,0.32820512820512826,0.31139037525677205,0.28149100257069415
bilbao,1,10,5,0.4,0.3316627816627817,0.39743589743589747,0.3300206204052358,0.3506659836065573
bilbao,1,10,6,0.18461538461538463,0.20705128205128207,0.18076923076923077,0.1750322327245404,0.1205003829461323
bilbao,1,10,7,0.2923076923076923,0.17604895104895107,0.308974358974359,0.2139194139194139,0.2350984906625736
bilbao,1,10,8,0.1076923076923077,0.1459057071960298,0.11282051282051284,0.08394383394383394,0.0385105840346851
bilbao,1,10,9,0.26153846153846155,0.17054334554334552,0.26153846153846155,0.18109708555052684,0.1958762886597939
bilbao,1,10,10,0.2153846153846154,0.23271435771435772,0.19871794871794873,0.1625777323451742,0.14074650077760487
bilbao,1,10,11,0.23076923076923078,0.27385519425161364,0.24615384615384617,0.20626040626040626,0.16858531593757997
bilbao,1,10,12,0.27692307692307694,0.21514041514041515,0.27692307692307694,0.22127541823898098,0.21706817016914415
bilbao,1,10,13,0.35384615384615387,0.2877955377955378,0.35512820512820514,0.29598646967068015,0.3012541592014333
bilbao,1,10,14,0.3230769230769231,0.2871017871017871,0.3230769230769231,0.22720938481808048,0.2670425422860072
bilbao,1,15,0,0.23076923076923078,0.09722222222222222,0.2243589743589744,0.13055450296829607,0.16452442159383052
bilbao,1,15,1,0.2153846153846154,0.23271435771435772,0.19871794871794873,0.1625777323451742,0.14074650077760487
bilbao,1,15,2,0.35384615384615387,0.33095238095238094,0.3435897435897436,0.31738090968860205,0.2969353592583056
bilbao,1,15,3,0.23076923076923078,0.27385519425161364,0.24615384615384617,0.20626040626040626,0.16858531593757997
bilbao,1,15,4,0.35384615384615387,0.3767915844838922,0.3525641025641026,0.3463616094050877,0.300179441168931
bilbao,1,15,5,0.3230769230769231,0.188034188034188,0.32564102564102565,0.2311269675523069,0.26610212984346937
bilbao,1,15,6,0.16923076923076924,0.23406593406593407,0.1641025641025641,0.16607778186725555,0.10344827586206895
bilbao,1,15,7,0.16923076923076924,0.13886039886039886,0.17820512820512818,0.10314039408866994,0.10527657405047164
bilbao,1,15,8,0.2153846153846154,0.3350427350427351,0.20769230769230768,0.22222222222222227,0.15195702225633145
bilbao,1,15,9,0.2,0.11613525363525364,0.19615384615384618,0.13588916657478534,0.1326661534513729
bilbao,1,15,10,0.3384615384615385,0.2896658896658897,0.3384615384615385,0.26669767430637,0.2837006663249616
bilbao,1,15,11,0.3076923076923077,0.2553418803418804,0.3243589743589744,0.2626306442095916,0.2519181585677749
bilbao,1,15,12,0.24615384615384617,0.2674709905479136,0.25000000000000006,0.20642690642690645,0.18458781362007182
bilbao,1,15,13,0.3384615384615385,0.34633699633699633,0.317948717948718,0.3053869207715362,0.28093645484949825
bilbao,1,15,14,0.2153846153846154,0.3350427350427351,0.20769230769230768,0.22222222222222227,0.15195702225633145
bilbao,2,1,0,0.1076923076923077,0.016923076923076923,0.12307692307692308,0.029370629370629373,0.043147208121827374
bilbao,2,1,1,0.1076923076923077,0.016462703962703964,0.09487179487179488,0.028039874193720345,0.025084044478924206
bilbao,2,1,2,0.09230769230769231,0.014367816091954023,0.10384615384615385,0.025243049633293532,0.023924662764062132
bilbao,2,1,4,0.1076923076923077,0.01693183476864691,0.09487179487179488,0.028679567141105602,0.025588007237012156
bilbao,2,1,5,0.09230769230769231,0.0255359394703657,0.0923076923076923,0.028749028749028745,0.01666666666666672
bilbao,2,1,6,0.06153846153846154,0.00946969696969697,0.06153846153846154,0.01641317430791115,-0.016666666666666607
bilbao,2,1,7,0.12307692307692308,0.02307692307692308,0.12307692307692308,0.03706293706293706,0.050000000000000044
bilbao,2,1,8,0.1076923076923077,0.01576923076923077,0.11538461538461539,0.02770409666961391,0.0394904458598726
bilbao,2,1,9,0.13846153846153847,0.026627218934911243,0.12307692307692308,0.04155614500442087,0.05405405405405406
bilbao,2,1,10,0.07692307692307693,0.006993006993006993,0.07692307692307693,0.01282051282051282,0.0
