dataset,player_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,Paul,Different Player,8,0.713953488372093,0.6690601040501711,0.649067139859136,0.6465902584031301,0.5441674287656868
cnsm,Paul,Same Player,9,0.875,0.8777777777777778,0.8592592592592593,0.8613636363636363,0.8043478260869565
cnsm,Paul,Different Player,9,0.6767441860465117,0.6351704628590938,0.5982324297239027,0.5872957858072295,0.47889542453268863
cnsm,Renato,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,0,0.9177456207159177,0.9236702498952952,0.9007764699411721,0.9101692557465415,0.8709918066642042
cnsm,Renato,Same Player,1,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,1,0.9192688499619193,0.9281187396937546,0.8997877526804791,0.9109322003894494,0.873159288631927
cnsm,Renato,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,2,0.916984006092917,0.9237642029813719,0.9029681444183418,0.9117149737878,0.8699174060012671
cnsm,Renato,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,3,0.9146991622239147,0.9252690617561812,0.8959238776881993,0.9074331281700707,0.8659529938525935
cnsm,Renato,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,4,0.9246001523229246,0.9315910085565108,0.9077627067754591,0.9174727367975795,0.8817320526363197
cnsm,Renato,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,5,0.9162223914699162,0.9238993507715975,0.8966256823764848,0.9073918065498473,0.8684082251464839
cnsm,Renato,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,6,0.9146991622239147,0.9239373832129366,0.8964647386783772,0.9073592634560147,0.8660234597426262
cnsm,Renato,Same Player,7,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,7,0.92003046458492,0.923677079630027,0.9061166269266471,0.9136114998938324,0.8748176040780414
cnsm,Renato,Same Player,8,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,8,0.9162223914699162,0.9265631990787271,0.895503197009062,0.9074528364034758,0.8682562631408517
cnsm,Renato,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,Renato,Different Player,9,0.913937547600914,0.9238561725045947,0.8935440839215442,0.9052690846440316,0.864688801297216
cnsm,Areski,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,0,0.9377401998462721,0.9344595743816653,0.9359730543054982,0.9352044146268375,0.9033501538055172
cnsm,Areski,Same Player,1,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,1,0.9377401998462721,0.9326125558901359,0.9365013224104496,0.9344681329866783,0.9034537538891149
cnsm,Areski,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,2,0.9423520368946964,0.9397029780223436,0.9433116797210509,0.941448656670805,0.910590910923532
cnsm,Areski,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,3,0.9508070714834742,0.9521386047701837,0.9504901108635053,0.9512995100847602,0.9235360885711872
cnsm,Areski,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,4,0.9461952344350499,0.9435789589712584,0.9477309367948387,0.9455775200041897,0.9165703229636362
cnsm,Areski,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,5,0.9377401998462721,0.9379909144781401,0.9325889381535156,0.9351677833847759,0.9030720835901068
cnsm,Areski,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,6,0.9485011529592621,0.9485011529450281,0.9479719700372232,0.9482232168485814,0.9199887280918349
cnsm,Areski,Same Player,7,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,7,0.9400461183704842,0.9378745165604441,0.9373463322950588,0.9376079131823225,0.9068474187928113
cnsm,Areski,Same Player,8,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,8,0.9446579554189085,0.9435568116073204,0.943565331052981,0.9435556971902413,0.9140355707284842
cnsm,Areski,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,Areski,Different Player,9,0.9431206764027671,0.9449472407112612,0.9388588391166266,0.9417412302903703,0.9114334182133973
cnsm,Félix,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Félix,Different Player,0,0.9039200614911607,0.8906120629325208,0.9128696458205406,0.8981865800349599,0.8522572726669821
cnsm,Félix,Same Player,1,1.0,1.0,1.0,1.0,1.0
cnsm,Félix,Different Player,1,0.9108378170637971,0.8969063951869969,0.9173881270215785,0.9043146846582498,0.862695415386491
cnsm,Félix,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Félix,Different Player,2,0.9093005380476556,0.8962872847419633,0.9173098165695803,0.9039483061448704,0.8603280949621201
cnsm,Félix,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Félix,Different Player,3,0.9046887009992314,0.890401081568274,0.9102527340445971,0.8975836894722974,0.8531800492906729
