dataset,excerpt_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,bach,Same Excerpt,6,0.975609756097561,0.9803921568627452,0.9791666666666666,0.9791463017269469,0.9623161764705882
cnsm,bach,Different Excerpt,6,0.7539353769676885,0.7941053732243936,0.7612731359661972,0.7488016521304731,0.6194652031760859
cnsm,bach,Same Excerpt,7,1.0,1.0,1.0,1.0,1.0
cnsm,bach,Different Excerpt,7,0.7506213753106876,0.7741663992746344,0.7605678048882121,0.7449847184645044,0.6173746275714551
cnsm,bach,Same Excerpt,8,1.0,1.0,1.0,1.0,1.0
cnsm,bach,Different Excerpt,8,0.6669428334714167,0.7332674148257667,0.6865683830490245,0.6515124399705782,0.4926174412427795
cnsm,bach,Same Excerpt,9,0.926829268292683,0.9473684210526315,0.9375,0.9369458128078817,0.8869485294117647
cnsm,bach,Different Excerpt,9,0.7613918806959403,0.7767427021278208,0.7631628317006988,0.750721442556532,0.6339157834431395
cnsm,mozart,Same Excerpt,0,0.9047619047619048,0.8946467475879242,0.8774509803921569,0.884593837535014,0.8490566037735849
cnsm,mozart,Different Excerpt,0,0.5565723793677204,0.6044038556855087,0.6043499409747599,0.5569103899426929,0.36018878777952656
cnsm,mozart,Same Excerpt,1,0.8809523809523809,0.9057017543859649,0.8799019607843137,0.8902356902356902,0.8113207547169812
cnsm,mozart,Different Excerpt,1,0.5998336106489185,0.6328697763929618,0.6101914472965045,0.5972527750557424,0.3812571301371769
cnsm,mozart,Same Excerpt,2,0.8571428571428571,0.8659356725146199,0.8602941176470589,0.8611111111111112,0.7754010695187166
cnsm,mozart,Different Excerpt,2,0.6381031613976705,0.6464333028505171,0.6665127731124304,0.6363343365789192,0.45580348268285864
cnsm,mozart,Same Excerpt,3,0.8333333333333334,0.8834498834498835,0.8406862745098039,0.8512820512820513,0.7358490566037736
cnsm,mozart,Different Excerpt,3,0.6846921797004991,0.7129369065553471,0.682181719934129,0.6881505463861181,0.5068469720686841
cnsm,mozart,Same Excerpt,4,0.8333333333333334,0.8405388471177945,0.8186274509803922,0.8272727272727273,0.7358490566037736
cnsm,mozart,Different Excerpt,4,0.6505823627287853,0.6530387472761721,0.6562597683942313,0.6516370674777116,0.45961973002394485
cnsm,mozart,Same Excerpt,5,0.8095238095238095,0.8549019607843137,0.7769607843137255,0.7996005054828584,0.6931506849315068
cnsm,mozart,Different Excerpt,5,0.6805324459234608,0.6851025317430693,0.7091939990696291,0.678246893120785,0.5232026147166651
cnsm,mozart,Same Excerpt,6,0.8333333333333334,0.8256752993595099,0.840686274509804,0.8288706163468972,0.7400530503978779
cnsm,mozart,Different Excerpt,6,0.5931780366056573,0.6755119561046786,0.6390273527830813,0.5852879861025118,0.41570556343082543
cnsm,mozart,Same Excerpt,7,0.8809523809523809,0.8796296296296297,0.8799019607843137,0.8792568542568543,0.8128342245989305
cnsm,mozart,Different Excerpt,7,0.6264559068219634,0.6381124400059734,0.6438543041952308,0.62939622230784,0.4284101439835629
cnsm,mozart,Same Excerpt,8,0.8333333333333334,0.8834498834498835,0.8406862745098039,0.8512820512820513,0.7358490566037736
cnsm,mozart,Different Excerpt,8,0.7928452579034941,0.7727433453638333,0.7794733756265484,0.7748633974850115,0.6800826895039058
cnsm,mozart,Same Excerpt,9,0.8809523809523809,0.9052287581699346,0.8799019607843137,0.8909430438842203,0.8113207547169812
cnsm,mozart,Different Excerpt,9,0.6347753743760399,0.6733714207029434,0.6606142970861968,0.6304590370104204,0.45817494788939206
cnsm,tchai,Same Excerpt,0,0.9047619047619048,0.912962962962963,0.9004629629629629,0.9014531773152462,0.8519823788546256
cnsm,tchai,Different Excerpt,0,0.5681063122923588,0.692528292089806,0.6212636005681925,0.5725551967240797,0.39244790857994594
cnsm,tchai,Same Excerpt,1,0.9523809523809523,0.9595588235294118,0.9595588235294118,0.9595588235294118,0.9261862917398945
cnsm,tchai,Different Excerpt,1,0.7026578073089701,0.7361440223782653,0.7303331727620695,0.696678337177041,0.5640963407037046
cnsm,tchai,Same Excerpt,2,0.9761904761904762,0.9803921568627452,0.9803921568627452,0.9797979797979798,0.9631255487269534
cnsm,tchai,Different Excerpt,2,0.5988372093023255,0.6984492962753833,0.6484458214901517,0.6016410855606726,0.43023702403160324
cnsm,tchai,Same Excerpt,3,0.9523809523809523,0.9607843137254902,0.943355119825708,0.9506833036244801,0.9257294429708223
cnsm,tchai,Different Excerpt,3,0.627906976744186,0.7140194662211165,0.6667579512900206,0.6297204565323063,0.4668353629606199
cnsm,tchai,Same Excerpt,4,0.9761904761904762,0.9803921568627452,0.9803921568627452,0.9797979797979798,0.9631255487269534
cnsm,tchai,Different Excerpt,4,0.6644518272425249,0.7075717174061422,0.6987568897822592,0.6607734575543146,0.5112998153368846
cnsm,tchai,Same Excerpt,5,0.9285714285714286,0.9399509803921569,0.9399509803921569,0.9393939393939394,0.8893766461808604
cnsm,tchai,Different Excerpt,5,0.6843853820598007,0.7132840663757838,0.7172871078649375,0.6764383150725912,0.5380088496468824
cnsm,tchai,Same Excerpt,6,0.8809523809523809,0.8720238095238096,0.8982843137254902,0.8776334776334777,0.8189655172413793
cnsm,tchai,Different Excerpt,6,0.7458471760797342,0.7727200775506248,0.766099440971005,0.7356256519751314,0.6235900872919868
cnsm,tchai,Same Excerpt,7,0.9761904761904762,0.9803921568627452,0.9803921568627452,0.9797979797979798,0.9631255487269534
cnsm,tchai,Different Excerpt,7,0.675249169435216,0.6998978257214459,0.7046601255594424,0.6670296308757987,0.5225633453141101
cnsm,tchai,Same Excerpt,8,0.9285714285714286,0.9473684210526315,0.9063180827886711,0.9196608946608946,0.888
cnsm,tchai,Different Excerpt,8,0.6852159468438538,0.7213627363486309,0.7134755720106073,0.6819955377682119,0.5385163055899969
cnsm,tchai,Same Excerpt,9,0.9285714285714286,0.9296296296296296,0.9387254901960785,0.9316624895572264,0.8898601398601399
cnsm,tchai,Different Excerpt,9,0.6976744186046512,0.7324760785916165,0.7268097824609662,0.6924509540732826,0.5567817282292546
cnsm,sibelius,Same Excerpt,0,0.8518518518518519,0.8787878787878789,0.8505050505050505,0.8614718614718614,0.7692307692307693
cnsm,sibelius,Different Excerpt,0,0.6133333333333333,0.4767399009695337,0.5151741391279291,0.45850885901598293,0.35779352536949294
cnsm,sibelius,Same Excerpt,1,0.8888888888888888,0.9111111111111111,0.8808080808080808,0.8928853754940711,0.8265524625267666
cnsm,sibelius,Different Excerpt,1,0.5325490196078432,0.7980873128821422,0.4468829545670534,0.3815467252725977,0.22273989556750007
cnsm,sibelius,Same Excerpt,2,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius,Different Excerpt,2,0.5184313725490196,0.7904526275412351,0.44940783330876205,0.3928043889459505,0.21053666564813445
cnsm,sibelius,Same Excerpt,3,0.8888888888888888,0.9153846153846154,0.8727272727272727,0.8875661375661376,0.8223684210526316
cnsm,sibelius,Different Excerpt,3,0.6337254901960784,0.661644496898294,0.5385975942252582,0.48657961757029455,0.39610660289235955
cnsm,sibelius,Same Excerpt,4,0.9259259259259259,0.9419191919191919,0.903030303030303,0.9181671790367442,0.881578947368421
cnsm,sibelius,Different Excerpt,4,0.5686274509803921,0.6347839939133122,0.5931890317565692,0.575097386918333,0.3521419273419665
cnsm,sibelius,Same Excerpt,5,0.9259259259259259,0.9419191919191919,0.903030303030303,0.9181671790367444,0.881578947368421
cnsm,sibelius,Different Excerpt,5,0.516078431372549,0.6907349789423506,0.43870620005552413,0.3795323354943509,0.19805762098837676
cnsm,sibelius,Same Excerpt,6,0.8518518518518519,0.886039886039886,0.8535353535353535,0.8595520421607378,0.7702127659574468
cnsm,sibelius,Different Excerpt,6,0.5325490196078432,0.6638298505890087,0.45042255132900816,0.39333382451831583,0.2248069923449817
