dataset,excerpt_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
villefavard2026,Tchai,Same Excerpt,3,0.9,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.8823529411764706
villefavard2026,Tchai,Different Excerpt,3,0.5276967930029155,0.6501260143365407,0.5180554896730729,0.48743411249910873,0.4469944267515924
villefavard2026,Tchai,Same Excerpt,4,1.0,1.0,1.0,1.0,1.0
villefavard2026,Tchai,Different Excerpt,4,0.5626822157434402,0.7285634964821248,0.5571656018030312,0.5251549703892346,0.4889242078076885
villefavard2026,Tchai,Same Excerpt,5,0.8,0.619047619047619,0.7142857142857143,0.6571428571428571,0.7560975609756098
villefavard2026,Tchai,Different Excerpt,5,0.5889212827988338,0.6792714211464211,0.585068394125634,0.5707805739278703,0.5202749618108596
villefavard2026,Tchai,Same Excerpt,6,0.9,0.9523809523809524,0.9285714285714286,0.9238095238095237,0.8809523809523809
villefavard2026,Tchai,Different Excerpt,6,0.5714285714285714,0.67328767993016,0.5667787682448866,0.5578230554679859,0.49974203790058536
villefavard2026,Tchai,Same Excerpt,7,1.0,1.0,1.0,1.0,1.0
villefavard2026,Tchai,Different Excerpt,7,0.5830903790087464,0.68571497147246,0.5781107174379377,0.5614778406532802,0.5131419609711552
villefavard2026,Tchai,Same Excerpt,8,0.9,0.9523809523809523,0.9285714285714286,0.9238095238095239,0.8809523809523809
villefavard2026,Tchai,Different Excerpt,8,0.60932944606414,0.6935023142044934,0.6021067798953421,0.5761613630034682,0.5437743190661479
villefavard2026,Tchai,Same Excerpt,9,0.9,0.8095238095238095,0.8571428571428571,0.8285714285714285,0.8795180722891567
villefavard2026,Tchai,Different Excerpt,9,0.60932944606414,0.6779254037767327,0.6039305691881616,0.5863753698927923,0.5438196002143836
villefavard2026,Sibelius,Same Excerpt,0,1.0,1.0,1.0,1.0,1.0
villefavard2026,Sibelius,Different Excerpt,0,0.6160458452722063,0.7423344621328491,0.6148204432314878,0.5989634882616783,0.5518609375598911
villefavard2026,Sibelius,Same Excerpt,1,1.0,1.0,1.0,1.0,1.0
villefavard2026,Sibelius,Different Excerpt,1,0.6561604584527221,0.7404245658494494,0.6563497357995788,0.6487044638397883,0.5988428897105309
villefavard2026,Sibelius,Same Excerpt,2,1.0,1.0,1.0,1.0,1.0
villefavard2026,Sibelius,Different Excerpt,2,0.5873925501432665,0.720057671976584,0.5878434436801617,0.5745597916265364,0.5186068565188655
villefavard2026,Sibelius,Same Excerpt,3,1.0,1.0,1.0,1.0,1.0
villefavard2026,Sibelius,Different Excerpt,3,0.6074498567335244,0.7274771175379696,0.6059618998141207,0.5932393742226478,0.5417796731994825
villefavard2026,Sibelius,Same Excerpt,4,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.8695652173913043
villefavard2026,Sibelius,Different Excerpt,4,0.5873925501432665,0.7148258053146647,0.5862002283852119,0.5751997448054887,0.5186206896551724
villefavard2026,Sibelius,Same Excerpt,5,1.0,1.0,1.0,1.0,1.0
villefavard2026,Sibelius,Different Excerpt,5,0.5558739255014327,0.6971044416799134,0.5540024367836256,0.5396850463469224,0.4815059761719911
villefavard2026,Sibelius,Same Excerpt,6,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.8695652173913043
villefavard2026,Sibelius,Different Excerpt,6,0.6275071633237822,0.7668142271322907,0.6269995063460952,0.6179536073175884,0.5653798256537983
villefavard2026,Sibelius,Same Excerpt,7,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.8695652173913043
villefavard2026,Sibelius,Different Excerpt,7,0.5730659025787965,0.715023119055377,0.5719781352926557,0.5641652976728717,0.5018631874395303
villefavard2026,Sibelius,Same Excerpt,8,0.8888888888888888,0.7857142857142857,0.8571428571428571,0.8095238095238095,0.8676470588235294
villefavard2026,Sibelius,Different Excerpt,8,0.6131805157593123,0.7396553649223774,0.6122563300711695,0.6007148991636696,0.5486766354065886
villefavard2026,Sibelius,Same Excerpt,9,1.0,1.0,1.0,1.0,1.0
villefavard2026,Sibelius,Different Excerpt,9,0.6131805157593123,0.7769772282827309,0.6118225190517796,0.6109812312249724,0.5484906564446573
villefavard2026,Glazounov,Same Excerpt,0,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094,0.8333333333333333
villefavard2026,Glazounov,Different Excerpt,0,0.575,0.6307239831628534,0.5765208701973409,0.5663120803071789,0.5047742353131575
villefavard2026,Glazounov,Same Excerpt,1,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238095,0.8333333333333334
villefavard2026,Glazounov,Different Excerpt,1,0.5694444444444444,0.6376513032187746,0.5712225846049376,0.5713502962171334,0.49853514747380334
villefavard2026,Glazounov,Same Excerpt,2,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238095,0.8333333333333334
villefavard2026,Glazounov,Different Excerpt,2,0.5527777777777778,0.6229004971442461,0.5534607277254336,0.5515755487413594,0.4791376474922939
villefavard2026,Glazounov,Same Excerpt,3,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094,0.8333333333333333
villefavard2026,Glazounov,Different Excerpt,3,0.5888888888888889,0.6735267598941166,0.5909021098726981,0.585401186424482,0.5213798059647863
villefavard2026,Glazounov,Same Excerpt,4,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6666666666666666,0.6666666666666666
villefavard2026,Glazounov,Different Excerpt,4,0.5777777777777777,0.6626747884933673,0.5761332676038559,0.5680834253704435,0.507736595897805
villefavard2026,Glazounov,Same Excerpt,5,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094,0.8333333333333333
villefavard2026,Glazounov,Different Excerpt,5,0.5527777777777778,0.6802981112234203,0.5543170282876165,0.5507064655271037,0.4793902866227736
villefavard2026,Glazounov,Same Excerpt,6,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238095,0.8333333333333334
villefavard2026,Glazounov,Different Excerpt,6,0.5138888888888888,0.5740681534000026,0.515758108993403,0.5041021666514418,0.4334328572970251
villefavard2026,Glazounov,Same Excerpt,7,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8095238095238094,0.8333333333333333
villefavard2026,Glazounov,Different Excerpt,7,0.55,0.6697992277992277,0.5508257320022026,0.532622225934254,0.4757045893828381
villefavard2026,Glazounov,Same Excerpt,8,1.0,1.0,1.0,1.0,1.0
villefavard2026,Glazounov,Different Excerpt,8,0.5777777777777777,0.637562240517081,0.5788758899053016,0.560635738258864,0.5077808761356482
villefavard2026,Glazounov,Same Excerpt,9,1.0,1.0,1.0,1.0,1.0
villefavard2026,Glazounov,Different Excerpt,9,0.5555555555555556,0.6289349122055888,0.5548575770634595,0.5361107072316198,0.48127268306301274
villefavard2026,Glazounov2,Same Excerpt,0,0.8888888888888888,0.7857142857142857,0.8571428571428571,0.8095238095238095,0.8676470588235294
villefavard2026,Glazounov2,Different Excerpt,0,0.5142045454545454,0.7940945734504806,0.511124298211218,0.47726893880070165,0.4327342638230499
villefavard2026,Glazounov2,Same Excerpt,1,0.8888888888888888,0.7857142857142857,0.8571428571428571,0.8095238095238095,0.8676470588235294
villefavard2026,Glazounov2,Different Excerpt,1,0.5369318181818182,0.7448281598657538,0.531841991882093,0.4964796762933036,0.4588599237937149
villefavard2026,Glazounov2,Same Excerpt,2,0.7777777777777778,0.7380952380952381,0.7857142857142857,0.7333333333333333,0.7352941176470589
villefavard2026,Glazounov2,Different Excerpt,2,0.5482954545454546,0.7273060296591749,0.5436891043534552,0.49788879340303716,0.4723832687576006
villefavard2026,Glazounov2,Same Excerpt,3,1.0,1.0,1.0,1.0,1.0
villefavard2026,Glazounov2,Different Excerpt,3,0.6363636363636364,0.7527623157305392,0.6320008686196014,0.5741009115177514,0.5754440518256773
villefavard2026,Glazounov2,Same Excerpt,4,0.8888888888888888,0.8095238095238094,0.8571428571428571,0.8285714285714285,0.8656716417910448
villefavard2026,Glazounov2,Different Excerpt,4,0.5340909090909091,0.7847828777362713,0.5285901416914672,0.521971421954588,0.4555811233920556
villefavard2026,Glazounov2,Same Excerpt,5,1.0,1.0,1.0,1.0,1.0
villefavard2026,Glazounov2,Different Excerpt,5,0.5965909090909091,0.7357578844329996,0.592886321701933,0.5194012169115979,0.5290304343729388
villefavard2026,Glazounov2,Same Excerpt,6,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.8695652173913043
villefavard2026,Glazounov2,Different Excerpt,6,0.5681818181818182,0.7068557755459931,0.5625369951581287,0.5140250439319061,0.49568774565711204
villefavard2026,Glazounov2,Same Excerpt,7,0.7777777777777778,0.619047619047619,0.7142857142857143,0.6571428571428571,0.7272727272727273
villefavard2026,Glazounov2,Different Excerpt,7,0.5823863636363636,0.756378195758961,0.5792940398043717,0.5232951504919161,0.5127408328154133
villefavard2026,Glazounov2,Same Excerpt,8,0.8888888888888888,0.7857142857142857,0.8571428571428571,0.8095238095238094,0.8676470588235294
villefavard2026,Glazounov2,Different Excerpt,8,0.6022727272727273,0.7700601058895991,0.5994272481028885,0.5564862080272808,0.536144578313253
villefavard2026,Glazounov2,Same Excerpt,9,0.7777777777777778,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7352941176470589
villefavard2026,Glazounov2,Different Excerpt,9,0.5965909090909091,0.69835912809822,0.5915074329942405,0.5356434419454957,0.5287240361678656
villefavard2026,Free,Same Excerpt,0,0.7,0.6071428571428571,0.6428571428571429,0.5986394557823129,0.6296296296296298
villefavard2026,Free,Different Excerpt,0,0.5478260869565217,0.6361681057776887,0.5533891402628981,0.5264361396882065,0.47292652113876077
villefavard2026,Free,Same Excerpt,1,0.7,0.5,0.5714285714285714,0.5238095238095238,0.6341463414634145
villefavard2026,Free,Different Excerpt,1,0.591304347826087,0.6538018100772874,0.59584954704073,0.5746095885862206,0.5237139444259502
villefavard2026,Free,Same Excerpt,2,0.8,0.6428571428571429,0.7142857142857143,0.6666666666666666,0.7560975609756098
villefavard2026,Free,Different Excerpt,2,0.5594202898550724,0.5855762369044395,0.5632154800262588,0.5416286004400691,0.4860939613100488
villefavard2026,Free,Same Excerpt,3,0.9,0.8214285714285714,0.8571428571428571,0.8367346938775511,0.875
villefavard2026,Free,Different Excerpt,3,0.5507246376811594,0.6264211481694127,0.5526227100382431,0.5371005814750605,0.47567360865984243
villefavard2026,Free,Same Excerpt,4,0.7,0.619047619047619,0.6666666666666666,0.6142857142857142,0.6428571428571428
villefavard2026,Free,Different Excerpt,4,0.5449275362318841,0.6188758885564207,0.5467760779429984,0.5333025937925072,0.4690434646225028
villefavard2026,Free,Same Excerpt,5,0.6,0.5,0.5238095238095238,0.49523809523809526,0.5238095238095237
villefavard2026,Free,Different Excerpt,5,0.5681159420289855,0.6179541401580876,0.5683283733963856,0.5566667720973896,0.4953020529586757
villefavard2026,Free,Same Excerpt,6,0.7,0.4523809523809524,0.5714285714285714,0.49523809523809526,0.6296296296296298
villefavard2026,Free,Different Excerpt,6,0.5826086956521739,0.6406065448841632,0.5852257315166745,0.562399330292242,0.5132799717843461
villefavard2026,Free,Same Excerpt,7,0.6,0.619047619047619,0.5952380952380951,0.5666666666666667,0.5294117647058824
villefavard2026,Free,Different Excerpt,7,0.5246376811594203,0.5849606159898019,0.5254407552887278,0.5101743334692225,0.44528867930077753
villefavard2026,Free,Same Excerpt,8,0.7,0.6904761904761905,0.738095238095238,0.661904761904762,0.6470588235294117
villefavard2026,Free,Different Excerpt,8,0.5420289855072464,0.6010777460503272,0.5451710078287783,0.53935563784106,0.46563014665516433
villefavard2026,Free,Same Excerpt,9,0.5,0.47619047619047616,0.4523809523809524,0.42380952380952375,0.41176470588235303
villefavard2026,Free,Different Excerpt,9,0.5449275362318841,0.64072459286745,0.5476987522195688,0.509230428496724,0.46875183899252637
villefavard2026,Scale,Same Excerpt,0,1.0,1.0,1.0,1.0,1.0
villefavard2026,Scale,Different Excerpt,0,0.6146179401993356,0.7477825351946138,0.6120315323191701,0.6069075039353707,0.5500399494832341
villefavard2026,Scale,Same Excerpt,1,1.0,1.0,1.0,1.0,1.0
villefavard2026,Scale,Different Excerpt,1,0.5581395348837209,0.7268242540163722,0.5583216762837326,0.5361205519695268,0.4844961240310077
villefavard2026,Scale,Same Excerpt,2,0.9473684210526315,0.9642857142857143,0.9285714285714286,0.9319727891156463,0.9381107491856677
villefavard2026,Scale,Different Excerpt,2,0.5614617940199336,0.7279737143463851,0.5625910707000059,0.5503829089435401,0.4884708972229732
villefavard2026,Scale,Same Excerpt,3,0.9473684210526315,0.9642857142857143,0.9285714285714286,0.9319727891156463,0.9381107491856677
villefavard2026,Scale,Different Excerpt,3,0.5382059800664452,0.7380872524448376,0.5387888325464825,0.5227964776594479,0.4613096770870886
villefavard2026,Scale,Same Excerpt,4,1.0,1.0,1.0,1.0,1.0
villefavard2026,Scale,Different Excerpt,4,0.5681063122923588,0.7282770667525658,0.5647184822521419,0.542300362598374,0.49557191290784164
villefavard2026,Scale,Same Excerpt,5,0.9473684210526315,0.9642857142857143,0.9285714285714286,0.9319727891156461,0.9381107491856677
villefavard2026,Scale,Different Excerpt,5,0.5681063122923588,0.7003832497911445,0.567250247712304,0.5387124097322372,0.49589683470105506
villefavard2026,Scale,Same Excerpt,6,0.9473684210526315,0.9642857142857143,0.9285714285714286,0.9319727891156461,0.9381107491856677
villefavard2026,Scale,Different Excerpt,6,0.5714285714285714,0.7063700148482758,0.5684778807483826,0.5536486466797647,0.4995811477839496
villefavard2026,Scale,Same Excerpt,7,1.0,1.0,1.0,1.0,1.0
villefavard2026,Scale,Different Excerpt,7,0.5415282392026578,0.7315075509731999,0.5444789298828467,0.5196431727778844,0.4654604416533691
villefavard2026,Scale,Same Excerpt,8,1.0,1.0,1.0,1.0,1.0
villefavard2026,Scale,Different Excerpt,8,0.5083056478405316,0.7215611075461628,0.5123856152007927,0.4874355951956881,0.42687319884726227
villefavard2026,Scale,Same Excerpt,9,1.0,1.0,1.0,1.0,1.0
villefavard2026,Scale,Different Excerpt,9,0.5813953488372093,0.7351724029464893,0.5761861047968759,0.5563206066264175,0.5108720885243364
